en,jp
equal,同等，等しい(形容詞)
drop off,落ちる，落とす(熟語)
leave out,除外する，取り除く(熟語)
the other,もう一方の，反対側の(形容詞)
solve,を解決する，解消する(動詞)
be concerned with,に関係している，関連している(熟語)
childhood,子供時代，幼少期(名詞)
sustainable,存続可能な，持続可能な(形容詞)
leftover,残り物，食べ残し(名詞)
at most,多くとも，せいぜい(熟語)
because of,～が理由で，目的のために(熟語)
hundreds of,何百もの(熟語)
efficiency,効率，能率(名詞)
arrangement,配置，配列(名詞)
treat,を扱う，待遇する(動詞)
muscle,筋肉，筋力(名詞)
aspect,局面，側面，表情(名詞)
content,中身，内容，目次(名詞)
prescription,処方，処方箋(名詞)
anxious,心配した，不安な(形容詞)
ancient,古代の，大昔の(形容詞)
generously,惜しみなく，気前よく(副詞)
literature,文学，文芸(名詞)
do well,うまくやる，成功する(熟語)
deadline,締め切り，期限(名詞)
exception,例外，特例(名詞)
temporarily,一時的に，仮に(副詞)
provide A with B,AにBを提供する，AがBを供給する(熟語)
fund,基金，資金(名詞)
in the long run,長い目で見れば，長期間に(熟語)
accomplish,を成し遂げる，完成する(動詞)
introduce,紹介する，引き合わす(動詞)
overlap,重ねる，積む(動詞)
identify,を見分ける，識別する(動詞)
collaboration,共同，共作，協力(名詞)
detective,探偵，刑事，捜査官(名詞)
democracy,民主主義，民主制度(名詞)
modify,を変更する，を修正する(動詞)
stir,"をかき混ぜる, 混ぜる(動詞)"
roll,"転がる, 転ぶ(動詞)"
orbit,"軌道, 軌跡(名詞)"
frequently,"頻繁に, たびたび(副詞)"
emotionally,"感情的に, 情緒的に(副詞)"
evaluate,評価する，見積もる(動詞)
defend,を守る，保護する(動詞)
district,地域，地区(名詞)
purpose,目的，目標(名詞)
prayer,祈り，礼拝(名詞)
prospect,見込み，眺め(名詞)
victim,犠牲者，被害者(名詞)
distant,"遠く離れた, 遠隔の(形容詞)"
various,様々な，多様な(形容詞)
visible,"目に見える, 可視的(形容詞)"
wrap,を包む，巻きつける(動詞)
dig,を掘る，採掘する(動詞)
drop by,"ちょっと立ち寄る, 立ち寄る(熟語)"
take over,"を引き継ぐ, 継承(熟語)"
angle,"角度, 角(名詞)"
payment,支払い，支出(名詞)
look into,を調べる/調査(熟語)
in practice,"実際には, 実際(熟語)"
on schedule,予定通りに，計画通りに(熟語)
once,かつて，1度(副詞)
in fact,"実際には, 実際(熟語)"
publisher,出版社，出版会社(名詞)
look forward to,"～を楽しみにする, 期待する(熟語)"
dizzy,めまいがする，ふらふらする(形容詞)
as though,まるで，あたかも(接続詞)
be pleased with,を喜ぶ，喜びを感じる(熟語)
postpone,を延期する，を先送りする(動詞)
justify,正当化する，合理化する(動詞)
fulfill,満たす，充足する(動詞)
influence,影響，影響力，波及/影響を及ぼす(名詞)
capacity,容量，容積(名詞)
continent,大陸，陸地(名詞)
industry,産業，工業(名詞)
surface,表面，水面(名詞)
doubtfully,疑わしく，怪しい(副詞)
permanently,恒久的に，永遠に(副詞)
sensitive,敏感な，感じやすい(形容詞)
peaceful,平和な，安らかな(形容詞)
medical,医学の，医療の(形容詞)
critics,評論家，批評家(名詞)
explorers,探検家，冒険家(名詞)
obstacle,障害，妨害(名詞)
admit,を認める，入ることを許す(動詞)
react,反応する，返答する(動詞)
succeed,成功する，達成する(動詞)
disappear,消える，見えなくなる(動詞)
take A for granted,Aを当然のことと思う(熟語)
be familiar with,に馴染みがある(熟語)
beyond,～を越えたところに，～を超えた場所に(前置詞)
run away,逃げ去る，逃亡する(熟語)
pass out,気絶する，失神する(熟語)
think over,熟考する，よく考える(熟語)
put away,片付ける，整理する(熟語)
believe in,を信じる，を信用する(熟語)
calm down,落ち着く，安心する(熟語)
what is worse,さらに悪いことには，更に悪化して(熟語)
observe,を観察する，を監視する(動詞)
participant,参加者，出席者(名詞)
react to,に反応する，受け止める(熟語)
at first,最初は，初めに(熟語)
tight,狭い，締まった(形容詞)
be known for,で知られている，有名である(熟語)
social,社会の，共同体の(形容詞)
jealously,嫉妬深く，妬み深く(副詞)
reliable,信頼性のある，あてになる(形容詞)
stable,安定した，安泰な(形容詞)
transport,を輸送する，を運搬する(動詞)
in other words,言い換えれば，つまり(熟語)
associated with,と関連した，紐づいた(熟語)
to start with,まず第一に，初めに(熟語)
first of all,まず第一に，まず以て(熟語)
congratulations on,に対するお祝い，祝福(熟語)
precious,貴重な，大切な(形容詞)
specialize in,に特化する，専門とする(熟語)
vaccine,ワクチン，予防接種(名詞)
nevertheless,にも関わらず，けれども(接続詞)
illness,病気，疾患(名詞)
for free,無料で，無償で(熟語)
checkup,健康診断，照合(名詞)
temperature,温度，気温(名詞)
health insurance,健康保険(名詞)
memory loss,記憶喪失，記憶消失(名詞)
inconvenience,不便，不自由(名詞)
unusually,異常に，めったにないほど(副詞)
take part in,に参加する，参与する(熟語)
determine,を決める，を定める(動詞)
be considered to,と見なされる，と認識される(熟語)
amount to,成る，達する(熟語)
in some way,何らかの方法で(熟語)
be connected to,に接続する，をつなぐ(熟語)
be involved in,に関与する，に介入する(熟語)
genetically,遺伝的に，生まれながら(副詞)
diet,食事，食事療法(名詞)
be made from,から作られる，を原料とする(熟語)
major,専攻科目，主要科目(名詞)
sign,標識，印，合図(名詞)
be threatened to,に脅かされる，に恐れられる(熟語)
progress,進歩，前進(名詞)
with luck,運が良ければ，うまくいけば(熟語)
offensive,攻撃的な，無礼な(形容詞)
abrupt,突然の，不意の(形容詞)
familiar,見慣れた，よく知られた(形容詞)
distributor,卸売業者，問屋(名詞)
publicity,宣伝，周知(名詞)
separation,分離，区分(名詞)
reuse,を再利用する，再使用する(動詞)
strike,叩く，打つ(動詞)
protest,抗議する，主張する(動詞)
illustrate,を説明する，を例示する(動詞)
voluntarily,自発的に，自ら進んで(副詞)
consciously,意識的に，故意に(副詞)
approximately,約，おおよそ(副詞)
peacefully,平和的に，穏やかに(副詞)
burden,負担，重荷(名詞)
whistle,口笛を吹く，口笛をする(動詞)
voyage,航海，航行(名詞)
envy,妬み，羨望(名詞)
exaggerate,を誇張する，大げさに言う(動詞)
refer to,を参照する，参考にする(熟語)
speaking of,と言えば，に関して(熟語)
wait for,を待つ，を待ち受ける(熟語)
in trouble,困った状況にある(熟語)
at best,せいぜい，良くとも(副詞)
except for,を除いては，を別にすれば(熟語)
matter,問題，困ったこと(名詞)
in effect,効果のある，効いている(熟語)
in fashion,流行っている，流行している(熟語)
on demand,要求に応じて，要求があり次第(熟語)
individual,個人の，個々の(形容詞)
as well,同様に，その上(副詞)
transportation,交通，輸送(名詞)
in general,一般的に，普通(熟語)
smell,においがする，臭いがする(動詞)
recognize,を認識する，はっきりと知る(動詞)
get rid of,を取り除く，除去する(熟語)
treatment,扱い，処理(名詞)
expired,期限切れの，契約の切れた(形容詞)
fee,料金，手数料(名詞)
current,現在の，現行の(形容詞)
renew,を更新する，新しくする(動詞)
from now on,これから先も，今後も(熟語)
attach to,に添える，に取り付ける(熟語)
fill out,書き込む，記入する(熟語)
unexpected,意外な，突然の(形容詞)
economic,経済の，財政の(形容詞)
breath,息，呼吸(名詞)
carbon dioxide,二酸化炭素，CO2(名詞)
humidity,湿度，湿気(名詞)
on duty,勤務時間中で，当番の(熟語)
in case,万一に備えて，予防するために(熟語)
gradually,次第に，だんだんに(副詞)
ceiling,天井，屋根(名詞)
out of use,すたれて，使用できない(熟語)
sculpture,彫刻，彫像(名詞)
exact,ちょうど，正確な(形容詞)
between A and B,AとBの間，AとBの中間(熟語)
produce,を生産する，作り出す(動詞)
even though,～だけれども，～であるのに(接続詞)
warm,暖かい，温暖な(形容詞)
inside,中身，内部(副詞)
ill,病気で，気分の悪い(形容詞)
out of place,場違いで，不適切で(熟語)
research,研究/研究する(名詞)
relative,相対的な，比較上の，親戚(形容詞)
poison,毒，毒物(名詞)
completely,完全に，全く(副詞)
be effective at,で効果的である(熟語)
absorb,を吸収する，吸い取る(動詞)
feed,餌を与える，育てる(動詞)
effective,効果的な，有用な(形容詞)
container,容器，入れ物(名詞)
thanks to,のおかげで，感謝して(熟語)
on the run,逃げて，奔走して(熟語)
dedicate,に専念する，奉納する(動詞)
abandon,を捨て去る，放棄する(動詞)
amuse,楽しませる，娯楽を提供する(動詞)
range,範囲，幅(名詞)
sphere,球，球体(名詞)
revenge,に復讐する/復讐(名詞)
popularity,人気，流行(名詞)
suspicious,疑わしい，怪しい(形容詞)
delicate,繊細な，きめ細かい(形容詞)
welfare,福祉，幸福(名詞)
border,国境，境界(名詞)
habit,習慣，慣行(名詞)
interrupt,割り込む，中断する(動詞)
persuade,を説得する，口説き落とす(動詞)
examine,を検査する，調査する(動詞)
leisurely,のんびりした，気の長い(形容詞)
bravely,勇敢に，りっぱに(副詞)
relatively,比較的，相対的に(副詞)
substitute,代用品/代わりに用いる(名詞)
peel,皮，表皮(名詞)
hospitality,おもてなし，歓待(名詞)
tragedy,悲劇，悲惨な出来事(名詞)
struggle with,と闘う，に苦戦する(熟語)
instruct,指示する，教える(動詞)
gather,を集める，収集する(動詞)
get used to,慣れる，習慣づく(熟語)
out of date,時代遅れの，古風な(熟語)
in tough,苦労して，厳しい(熟語)
under way,進行中で，進行する(熟語)
come into being,生まれ出る，生ずる(熟語)
in need of,を必要として，～がぜひとも必要(熟語)
be aware of,に気づいている，認識している(熟語)
at a loss,途方に暮れて，困惑して(熟語)
within reach,届く範囲で，手の届く範囲で(熟語)
on average,平均して，平均値で(熟語)
in a row,一列に，連続的に(熟語)
appear,現れる，出現する(動詞)
hesitate,ためらう，躊躇する(動詞)
be short of,が不足する，欠ける(熟語)
play a role in,において役割を果たす(熟語)
alternative,代替物，代案(名詞)
depression,落ち込み，不景気(名詞)
large amount of,大量の，たくさんの(熟語)
rug,じゅうたん，敷き物(名詞)
invent,を発明する，創造する(動詞)
encourage,を勇気づける，励ます(動詞)
rarely,めったに～ない，稀に(副詞)
digest,要約/消化する(名詞/動詞)
focus on,に焦点を合わせる，に注目する(熟語)
be concerned about,について気をかける，心配する(熟語)
vocabulary,単語，語彙(名詞)
complex,複雑な，複合の(形容詞)
strengthen,強化する，増強する(動詞)
similarly,同様に，一様に(副詞)
ignorance,無知，無学(名詞)
opposite,反対の，向こう側の(形容詞)
pronunciation,発音，発声(名詞)
invention,発明，創造(名詞)
reverse,反対の，裏側の(形容詞)
commute,通勤する，取り替える(動詞)
appeal,訴える，告発する，告訴する(動詞)
qualify,に資格を与える，認可する(動詞)
incident,出来事，事件(名詞)
market,市場，市場経済(名詞)
maximum,最大，最大の(名詞)
yell,大声で叫ぶ，大声を出す(動詞)
sneeze,くしゃみ/くしゃみをする(名詞/動詞)
wipe,を拭く，拭き取る(動詞)
twist,ねじれ，より合わせる(名詞/動詞)
civilize,文明化する，開化させる(動詞)
murder,殺人，凶行(名詞)
impose,を課す，負わせる(動詞)
parliament,議会，国会(名詞)
nursery school,保育園，幼稚園(熟語)
glance,一目見る/一目(名詞/動詞)
aid,援助/助ける(名詞/動詞)
force,力，勢い(名詞)
role,役割，職務(名詞)
acquaint,知らせる(動詞)
superior,より優れた，優越な(形容詞)
knowledge,知識，学識(名詞)
mindful,気をつけて，注意深く(形容詞)
stand still,停止，休止，行き詰まり(熟語)
appearance,出現，外見(名詞)
incredible,信じられない，信じがたい(形容詞)
in terms of,に関して，の点から(熟語)
article,記事，論文(名詞)
