英語,日本語,id
measurement,測定，計測(名詞),296
depart,出発する，立ち去る(動詞),297
determination,決定，決断(名詞),298
take offense at,に怒る，腹を立てる(熟語),299
preach,説教する，説く(動詞),300
scenery,風景(名詞),301
efficiency,効率，能率(名詞),302
to no avail,無駄に，役に立たずに(熟語),303
in the concrete,具体的に，具体化すると(熟語),304
competitor,競合他社，競争相手(名詞),305
drag on,長引く，続きすぎる(熟語),306
mercy,慈悲，あわれみ(名詞),307
differ,異なる，違う(動詞),308
infringe on,侵害する，侵犯する(熟語),309
formerly,以前は，かつて(副詞),310
favorable,好ましい，有利な(形容詞),311
sew,縫う，繕う(動詞),312
pertain to,に関係する，にふさわしい(熟語),313
sting,刺す，突く(動詞),314
lie on,責任がある，のしかかる，横になる(熟語),315
adjustment,調整，調節(名詞),316
confession,告白，自白(名詞),317
ministry,省庁，官庁(名詞),318
outcome,結果(名詞),319
boil down to,煮詰める，結局～になる(熟語),320
scent,香り，におい(名詞),321
wicked,邪悪な，悪い(形容詞),322
ups and downs,浮き沈み，上昇と下降(名詞),323
triumph,勝利(名詞),324
equate A with B,AとBを等しくする，AをBと同等にする(熟語),325
sculpture,彫刻，彫像(名詞),326
await,を待つ(動詞),327
agricultural,農業の，農作物の(形容詞),328
conscience,良心，道徳心(名詞),329
heal,癒す，治す(動詞),330
profitable,利益のある，収益性の高い(形容詞),331
haste,急ぐ/急ぎ(名詞),332
weaken,弱める，力を失う(動詞),333
complain of,の不満を漏らす，について苦情を言う(熟語),334
resemble,に似ている(動詞),335
butcher,肉屋(名詞),336
engagement,約束，取り決め(名詞),337
the lion's share,最大の分け前，大きすぎる分け前(名詞),338
humble,謙虚な(形容詞),339
stir,"をかき混ぜる, 混ぜる(動詞)",340
stock,株，在庫/を在庫に持つ(名詞),341
blend in,溶け合う，調和する(熟語),342
ignorance,無知，無学(名詞),343
flare up,急に燃え上がる，勃発する(熟語),344
commerce,商業，商売(名詞),345
clap,手をたたく(動詞),346
dusty,ほこりっぽい(形容詞),347
unkind,不親切な，薄情な(形容詞),348
pavement,舗装路(名詞),349
rule of thumb,親指で計測すること，大雑把な方法(名詞),350
fall prey to,の餌食になる，犠牲になる(熟語),351
restrain,抑える(動詞),352
imperial,帝国の(形容詞),353
pass off,次第に消える，徐々に消える(熟語),354
advertisement,広告，宣伝(名詞),355
fall in with,と知り合いになる，交際する(熟語),356
betray,を裏切る，をだます(動詞),357
coward,腰抜け，臆病者(名詞),358
obedient,従順な，素直な(形容詞),359
kidnap,を誘拐する(動詞),360
ashtray,灰皿(名詞),361
pass for,として通る，通過する(熟語),362
porter,運搬人(名詞),363
faithful,忠実な，誠実な(形容詞),364
hollow,くぼみ/空洞のある(名詞),365
after all,結局，最終的に(熟語),366
hidden,隠された，隠秘の(形容詞),367
limb,手足，四肢(名詞),368
admiration,感心，賞賛(名詞),369
prosperity,繁栄，成功(名詞),370
enthusiastic,熱狂的な，熱烈な(形容詞),371
surrender,降伏する，投降する(動詞),372
miserable,悲惨な，みじめな(形容詞),373
decay,腐る，朽ちる(動詞),374
enclose,を囲む，同封する(動詞),375
ambitious,野心的な，大志を抱く(形容詞),376
bear the brunt of,の矢面に立つ，まともに受ける(熟語),377
guilt,罪悪感，有罪(名詞),378
occasional,時折の(形容詞),379
take a beating,負ける，敗北する(熟語),380
puppy,子犬，幼犬(名詞),381
greedy,貪欲な，欲張りの(形容詞),382
admire A for B,BについてAを賞賛する，AのBを素晴らしいと思う(熟語),383
bestow A on B,BにAを授ける，BにAを費やす(熟語),384
envy,妬み，羨望(名詞),385
partial,部分的な，一部の(形容詞),386
awfully,ひどく，恐ろしく(副詞),387
by the same token,同様に，さらに(熟語),388
razor,かみそり(名詞),389
nap,昼寝(名詞),390
rejoice,をうれしがる，喜ぶ(動詞),391
heroic,英雄的な，勇ましい(形容詞),392
descend,下降する(動詞),393
multiply,掛け算する，乗算する(動詞),394
make haste,急ぐ，手早くする(熟語),395
drum up,呼び集める，募集する(熟語),396
formation,形成，構成(名詞),397
namely,すなわち，つまり(副詞),398
mighty,強力な，精力のある(形容詞),399
pop up,飛び出す，出現する(熟語),400
handful,一握りの(形容詞),401
pronounce,を発音する(動詞),402
pay down,頭金として払う，即金で払う(熟語),403
saucer,受け皿(名詞),404
outer,外に，外部の(形容詞),405
despair,絶望，失望(名詞),406
antique,骨董の，古風な(形容詞),407
glory,栄光，名誉(名詞),408
immense,巨大な，莫大な(形容詞),409
faint,かすかな，ぼんやりした(形容詞),410
insult,を侮辱する，を罵る(動詞),411
forecast,予測する(動詞),412
chew,を噛む(動詞),413
set forth,説明する，を明らかにする(熟語),414
scholarship,奨学金(名詞),415
fatal,致命的な，運命の(形容詞),416
repay,返済する，報いる(動詞),417
deceive,を欺く，をだます(動詞),418
out of the woods,森の外へ，困難を脱して(熟語),419
accuse,告発する，告発(動詞),420
in other words,言い換えれば，つまり(熟語),421
frankly,率直に，直接的に(副詞),422
land A with B,AにBを引き受けさせる，AにBをやらせる(熟語),423
ache,痛み(名詞),424
activate,作動させる(動詞),425
composer,作曲，楽曲制作(名詞),426
postpone,を延期する，を先送りする(動詞),427
issue A to B,AをBに支給する，発行する(熟語),428
from hand to mouth,その日暮らしで，将来の備えをしないで(熟語),429
monument,記念碑(名詞),430
cruelty,残酷さ，残虐性(名詞),431
go nuts,気がふれる，怒り狂う(熟語),432
canal,運河(名詞),433
amaze,をびっくりさせる，驚かせる(動詞),434
prolong,延長する(動詞),435
bud,つぼみ(名詞),436
hatred,憎しみ，憎悪(名詞),437
splendid,素晴らしい，華やかな(形容詞),438
basin,盆地(名詞),439
bleed,出血する(動詞),440
ripe,熟した，熟れた(形容詞),441
thorough,徹底した(形容詞),442
digest,要約/消化する(名詞),443
rattle,ガタガタ鳴る(動詞),444
athletic,競技の，運動家の(形容詞),445
sidewalk,歩道，歩行者道(名詞),446
fasten,を固定する，締める(動詞),447
dish out,盛り付ける，配膳する(熟語),448
interpreter,解説者，通訳者(名詞),449
scold,を叱る，に小言を言う(動詞),450
ruling,支配的な，主要な，優勢な(形容詞),451
thoroughly,徹底的に，完全に(副詞),452
paragraph,段落，区切り(名詞),453
cast off,投げ捨てる，縄を解く(熟語),454
vain,うぬぼれの強い，自惚れた(形容詞),455
marvelous,素晴らしい(形容詞),456
conquer,征服する(動詞),457
obey,従う(動詞),458
ally,と同盟する，手を結ぶ(動詞),459
arc,円弧，孤(名詞),460
pass on,通り過ぎる，を伝える(熟語),461
lipstick,口紅(名詞),462
merrily,陽気に，楽しそうに(副詞),463
sorrow,悲しみ(名詞),464
in exchange,と引き換えに，代わりに(熟語),465
hillside,山腹，斜面(名詞),466
hasty,急ぐ，急ぎ足で(形容詞),467
margin,余白，へり(名詞),468
in place of,の代わりに，変わって(熟語),469
swift,迅速な，速い(形容詞),470
oral,口頭の，口述の(形容詞),471
to excess,過剰に，過度に(熟語),472
ambassador,大使(名詞),473
concentrated,濃縮された，集中した(形容詞),474
flu,インフルエンザ(名詞),475
in the suburbs of,の郊外で，の近郊で(熟語),476
symphony,交響曲(名詞),477
tread,足を踏み入れる(動詞),478
hasten,急ぐ(動詞),479
pastime,娯楽(名詞),480
magnificent,壮大な(形容詞),481
errand,使い走り(名詞),482
pass through,を通る，通り抜ける(熟語),483
fairness,公平さ(名詞),484
make allowance for,を大目に見る，を考慮に入れる(熟語),485
hedge,垣根，障壁，障害物(名詞),486
out in the cold,冷たくされて，無視されて(熟語),487
patiently,辛抱強く，根気よく(副詞),488
herd,群れ，集団(名詞),489
out of bounds,立入禁止で，境界線を越えて(熟語),490
approximately,約，おおよそ(副詞),491
liver,肝臓，肝(名詞),492
be reckless of,を気に掛けない，気にしない(熟語),493
dominant,支配的な(形容詞),494
shrink,縮小する(動詞),495
instantly,すぐに，直ちに，即座に(副詞),496
biology,生物学(名詞),497
feed on,にエサをやる，(～を)えさとする(熟語),498
scarce,乏しい(形容詞),499
at close quarters,間近に，接近して(熟語),500
vigor,活力(名詞),501
capitalism,資本主義(名詞),502
conquest,征服，克服(名詞),503
sparkle,閃光(名詞),504
arena,舞台，闘技場(名詞),505
pinch,をつねる，つまむ(動詞),506
embroil in,に巻き込む，関与させる(熟語),507
attain,を達成する，獲得する(動詞),508
speak ill of,の悪口を言う，を悪く言う(熟語),509
ban,を禁止する，を禁制する(動詞),510
assign,割り当てる(動詞),511
die down,下火になる，(騒ぎが)静まる(熟語),512
all told,全体で，結局(熟語),513
blow in,風が吹き込む，突然現れる(熟語),514
grind,をひく，細かく砕く(動詞),515
plow,耕作用すき，すきに似たもの(名詞),516
prohibit,禁じる(動詞),517
conceive,を心に抱く，思う(動詞),518
conjure up,素早く出す，呪文で呼び出す(熟語),519
disgusting,いやな，むかつくような(形容詞),520
medieval,中世の(形容詞),521
fish for,聞き出す，誘い出す(熟語),522
fascinating,魅惑的な，うっとりさせる(形容詞),523
dock,船着場，波止場(名詞),524
go under,失敗する，破産する，失敗に終わる(熟語),525
retreat,へ退却する/後退(動詞),526
productivity,生産性，生産力(名詞),527
feed off,から取って食べる，情報を得る，採取して利用する(熟語),528
shiny,輝いた，光沢のある(形容詞),529
organism,生命体，生物(名詞),530
sow,の種をまく(動詞),531
buy over,買収する，味方に抱き込む(熟語),532
courageous,勇気のある，勇敢な(形容詞),533
kneel,に膝まづく，ひざをつく(動詞),534
procession,行列(名詞),535
carry off,運び去る，誘拐する(熟語),536
majesty,威厳(名詞),537
suspicion,疑い，疑惑(名詞),538
desperately,必死に(副詞),539
startle,驚愕させる(動詞),540
heir,相続人，跡取り(名詞),541
illusion,幻覚，思い込み(名詞),542
progressive,進歩的な，革新的な(形容詞),543
utter,完全な(形容詞),544
mourn,を悲しむ，嘆く(動詞),545
round and round,グルグルと，うろうろと(熟語),546
solely,単独で，専ら(副詞),547
ill at ease,落ち着かない，不安な(形容詞),548
strive,努力する，励む(動詞),549
snatch,をひったくる(動詞),550
omit,を省略する，省く(動詞),551
sole,単独の(形容詞),552
despise,を軽蔑する，さげすむ(動詞),553
obedience,従順，服従(名詞),554
boredom,退屈(名詞),555
furnish,家具を備える(動詞),556
daring,大胆な，図太い(形容詞),557
appreciation,感謝，称賛(名詞),558
prosper,繁栄する，発展する(動詞),559
rosy,バラ色の(形容詞),560
noticeable,目立つ，際立つ(形容詞),561
fantastic,素晴らしい(形容詞),562
get wet to the skin,ずぶ濡れになる，びしょ濡れになる(熟語),563
vivid,鮮やかな(形容詞),564
least of all,とりわけ，最も～ない(副詞),565
brutal,残忍な，残酷な(形容詞),566
disguise,変装させる， 見せかける(動詞),567
consult,相談する，話し合う(動詞),568
frustration,欲求不満，落胆(名詞),569
cunning,ずる賢い(形容詞),570
make a fuss,大騒ぎする，騒ぎ立てる(熟語),571
let on,漏らす，白状する(熟語),572
prescription,処方，処方箋(名詞),573
particle,分子(名詞),574
hug,抱擁/を抱きしめる(名詞),575
absurd,ばかげた，道理に合わない(形容詞),576
run down,流れ落ちる，荒廃する(熟語),577
assemble,組み立てる(動詞),578
pick up the pieces,欠片を拾う，事態を修復する(熟語),579
refusal,拒否，拒絶(名詞),580
uncertainty,不確実性，不明確さ(名詞),581
conceal,隠す(動詞),582
expedition,遠征(名詞),583
unjust,不当な，不公平な(形容詞),584
tragic,悲劇的な，悲劇的(形容詞),585
edit,を編集する(動詞),586
declaration,宣言，発表(名詞),587
vow,誓い(名詞),588
tighten,締める，絞る(動詞),589
barge in,入り込む，押しかける(熟語),590
tolerate,に耐える，寛大に取り扱う(動詞),591
gloomy,憂鬱な，暗い(形容詞),592
out of place,場違いで，不適切で(熟語),593
suspend,つるす(動詞),594
imitation,模倣(名詞),595
acquisition,取得(名詞),596
warrior,戦士(名詞),597
verb,動詞(名詞),598
physically,肉体的に，身体的に(副詞),599
batch,ひとまとめ(名詞),600
honorable,尊敬できる(形容詞),601
anticipate,を期待する，予想する(動詞),602
seldom if ever,めったに，しない(熟語),603
volcano,火山，噴火口(名詞),604
sentiment,感情，心情(名詞),605
sleep over,外泊する，を見落とす(熟語),606
severely,厳しく，ひどく(副詞),607
flexible,柔軟な，しなやかな(形容詞),608
feast,ごちそう，祝祭(名詞),609
eagerly,熱心に(副詞),610
soar,舞い上がる(動詞),611
fertile,肥沃な，多産の(形容詞),612
rule out,除外する(熟語),613
overhead,間接の(形容詞),614
modify,を変更する，を修正する(動詞),615
bond,拘束，束縛(名詞),616
pile in,どっと中に入る，一気に入る(熟語),617
comprehension,理解(名詞),618
try out,を試す，十分に試してみる(熟語),619
irony,皮肉(名詞),620
surgeon,外科医，手術医(名詞),621
lick,をなめる，をなめてかかる(動詞),622
refuge,避難(名詞),623
bow out,お辞儀して退出する，身を引く(熟語),624
bulk,大きさ，かさ(名詞),625
peel,皮，表皮(名詞),626
cactus,サボテン(名詞),627
grieve,深く悲しむ，嘆く(動詞),628
snap out of,から素早く脱出する，抜け出す(熟語),629
forehead,おでこ，ひたい(名詞),630
productive,生産的な(形容詞),631
aisle,通路(名詞),632
sphere,球，球体(名詞),633
right off,すぐに，直ちに(副詞),634
insure,を保証する(動詞),635
dense,密な，密集した(形容詞),636
dip,少し浸す(動詞),637
distress,苦痛，苦悩(名詞),638
prominent,目立つ，突き出た(形容詞),639
statesman,政治家(名詞),640
bowl over,を打ち倒す，仰天させる(熟語),641
experimental,実験的な，実験の(形容詞),642
isolated,孤立した，隔離された(形容詞),643
cast away,投げ捨てる，処分する(熟語),644
likewise,同様に(副詞),645
bank on,を当てにする，頼る(熟語),646
sue,訴える(動詞),647
remedy,治療(名詞),648
electronics,電気(名詞),649
fluent,流暢な(形容詞),650
farewell,別れ(名詞),651
in token of,の証拠に，のしるしとして(熟語),652
fierce,激しい，凶暴な(形容詞),653
sprinkle,を振りかける(動詞),654
prevail,打ち勝つ(動詞),655
canine,イヌの，イヌ科の(形容詞),656
patron,常連客，保護者(名詞),657
fetch,を取ってくる(動詞),658
plead,懇願する，お願いする(動詞),659
consensus,同意，同調(名詞),660
suspicious,疑わしい，怪しい(形容詞),661
accurately,正確に，綿密に(副詞),662
be devoid of,を持っていない，に欠いている(熟語),663
resign,辞任する(動詞),664
stain,よごれ(名詞),665
buck for,得ようと努める，求める(熟語),666
oriental,東洋の(形容詞),667
be indebted to,に負債がある，恩義がある(熟語),668
dissolve,を溶かす(動詞),669
moderate,適度な，適切な，ほどよい(形容詞),670
microwave,電子レンジ(名詞),671
imperfect,不完全な，未完成の(形容詞),672
torch,たいまつ(名詞),673
run errands,使い走りをする，お使いをする(熟語),674
trim,を整える，手入れする(動詞),675
defect,欠陥，欠点(名詞),676
optimistic,楽観的な(形容詞),677
evaluation,評価，査定(名詞),678
attendant,付き添い，付随(名詞),679
rag,ぼろきれ，布切れ(名詞),680
rib,肋骨，あばら骨(名詞),681
condense,を凝縮する，濃縮する(動詞),682
in a nutshell,一言で言えば，極めて簡単に言えば(熟語),683
wit,機転(名詞),684
be bound up with,と密接な関係のある，深く関係した(熟語),685
unaware,気づいていない(形容詞),686
sacred,神聖な，神の(形容詞),687
faithfully,忠実に，誠実に(副詞),688
flourish,繁栄する，栄える(動詞),689
accomplishment,完成，成果(名詞),690
to say the least,控えめに言っても，遠からず(熟語),691
diligent,勤勉な(形容詞),692
clay,粘土(名詞),693
regulate,を規制する，統制する(動詞),694
misfortune,不幸，災厄(名詞),695
forbid,を禁じる，禁止する(動詞),696
inspiration,ひらめき，思い付き(名詞),697
gleam,きらめき，薄明かり(名詞),698
protective,保護的な，保護する(形容詞),699
onward,前進の，前進的な(形容詞),700
inquire after,の安否を尋ねる，を見舞う(熟語),701
immensely,莫大に，広大に(副詞),702
down the drain,排水路に流されて，失われて(熟語),703
promptly,早速，即座に(副詞),704
bump,こぶ，衝突(名詞),705
cover for,を覆う，代理となる(熟語),706
ward,区画，病室(名詞),707
freshman,新入生(名詞),708
refine,を精製する(動詞),709
dim,薄暗い，ほの暗い(形容詞),710
resume,再開する，続ける(動詞),711
eternal,永遠の，永遠不変の(形容詞),712
brush off,をすげなく断る，無視する，拒否する(熟語),713
be obsessed with,に取り付かれる，で頭がいっぱい(熟語),714
colonial,植民地の(形容詞),715
arithmetic,算数(名詞),716
esteem,を尊重する，尊敬する(動詞),717
currency,通貨，流通(名詞),718
ridiculous,ばかげている，不合理な(形容詞),719
calculation,計算，算定(名詞),720
terrific,すごい，ものすごい(形容詞),721
stitch,縫い目(名詞),722
pasture,牧草，牧草地(名詞),723
bargain for,について交渉する，話し合う(熟語),724
