英語,日本語,id
smear,塗る，塗布する,234
wedge,くさび，楔形体,235
despicable,卑劣な，下劣な,236
stab,刺す，突き刺す,237
anecdotal,逸話の，物語性のある,238
whitewash,しっくい，モルタル,239
appalling,ぞっとするような，気味の悪い,240
fraternity,友愛，友情,241
supplant,取って代わる，置き換える,242
multiply,掛け算する，乗算する,243
intrinsic,本質的な，基本的な,244
diagnosis,診断，判断,245
cosmic,宇宙の，宙域の,246
progressive,進歩的な，革新的な,247
willingness,意欲，意志,248
strictly,厳密に，厳しく,249
integrity,誠実さ，誠意,250
microscope,顕微鏡，測微鏡,251
array,整列させる，並べる,252
evade,避ける，避ける,253
pile in,どっと中に入る，一気に入る,254
overwhelm,圧倒する，制圧する,255
hunch,直感，本能,256
morbid,病的な，病気の,257
forensic,法廷の，裁判所の,258
convict,有罪とする，罪を宣告する,259
ply,精を出す，努力する,260
forefront,最前部，前線,261
unconscious,無意識の，潜在意識の,262
staunch,堅い，堅固な,263
exploration,探査，探索,264
hasty,急ぐ，急ぎ足で,265
hostile,敵意のある，反感を持つ，敵対視する,266
pile up,を積み上げる，積み重ねる，山積みにする，集積する,267
provider,生産者，製造者,268
prestige,名声，評判,269
liver,肝臓，肝,270
catch up,遅れを取り戻す，追いつく，遅延を補う,271
reimbursement,返済，返金,272
resent,憤る，怒る,273
frankly,率直に，直接的に,274
envious,羨ましい，妬ましい,275
face off,対決する，向き合う，立ち向かう,276
fraction,分数，小数,277
browse,拾い読みする，一部読む,278
seal,密閉する，封鎖する,279
norm,規範，基準,280
naval,海軍の，海軍のもの,281
speak for,を代弁する，の代理で話す，言い表す,282
versatile,多才な，多能な,283
surveillance,監視，見守り,284
submarine,潜水艦，水中艇,285
grain,穀物，穀類,286
prediction,予測，予想,287
rust,錆び，酸化,288
consult,相談する，話し合う,289
pill,丸薬，錠剤,290
potent,効能のある，効果的な,291
esoteric,秘儀の，神秘的な,292
remarkably,著しく，非常に,293
inspiration,ひらめき，思い付き,294
comparable,比較できる，比べられる,295
supplier,供給者，供給元,296
supervisor,上司，長上,297
peg,くぎ，くい,298
regardless of,に関係なく，それにも関わらず,299
tighten,締める，絞る,300
force down,を無理やり飲み込む，強いて飲み込む，無理に飲み込む,301
ambitious,野心的な，大志を抱く,302
quest,探求，探究,303
see through,を見抜く，見通す，透視する,304
mundane,平凡な，普通の,305
stay in touch with,と連絡を取り続ける，絶えず連絡する，つながりを保つ,306
logistics,調達路，供給路,307
vicinity,近所，近隣,308
throw off,を投げ捨てる，放り出す，放棄する,309
eternal,永遠の，永遠不変の,310
mandatory,強制的な，強制力のある,311
diversity,多様性，多様化,312
go under,失敗する，破産する，失敗に終わる,313
not surprisingly,当たり前の事だが，もちろんのことだが，当然のことながら,314
linguistic,言語学，語学,315
availability,可用性，利用可能性,316
latitude,緯度，緯線,317
equator,赤道，赤道線,318
boast,自慢する，誇示する,319
rainfall,降雨量，雨量,320
diverse,多様な，多種多様な,321
barren,実を結ばない，結果を出さない,322
brink,瀬戸際，切羽詰まった状態,323
take on,を雇う，引き受ける，採用する,324
turmoil,騒動，混乱，騒ぎ,325
brutality,残忍性，冷酷さ，非情さ,326
prosper,繁栄する，発展する,327
successive,連続する，続ける，つづく,328
mold,鋳型，型作り/型どる,329
fall through,失敗に終わる，駄目になる，台無しになる,330
conform to,に順応する，慣れる，適応する,331
stability,安定，平穏，均衡,332
insistence,主張，信条，主義,333
toxic,有毒な，毒性の，毒のある,334
stand up to,に抵抗する，耐える，反抗する,335
excel,勝る，優れる，上回る,336
spectrum,波長分布，光の分布，波長の分布,337
detrimental,有害な，害のある，悪影響の,338
modulate,調整する，微調整する，整合する,339
moderate,適度な，適切な，ほどよい,340
downright,真っすぐな，徹底的な，一貫した,341
bring off,を成し遂げる，達成する，完成させる,342
hedge,垣根，障壁，障害物,343
fall for,に夢中になる，騙される，引きつけられる,344
interact,相互作用する，互いに影響を与える,345
correctly,正しく，適切に,346
precision,正確さ，精度,347
synthesis,統合，統一,348
accessible,行きやすい，便利な,349
register for,に登録する，に記録する，に記載する,350
foresee,予見する，予測する,351
optimistic,楽観的な，前向きな,352
envision,想像する，思い描く,353
resistant,抵抗する，反抗する,354
weigh on,の重荷になる，負担になる，の負荷となる,355
allay,和らげる，軽減する,356
feel for,を感じる，同情する，を体感する,357
eradicate,根絶する，撲滅する,358
unintended,意図しない，計画しない,359
supervision,監督，指導者,360
play out,最後まで演じる，遊ぶ，最後まで続ける,361
mentally,精神的に，心理的に,362
dent,へこみ，凹み,363
noticeable,目立つ，際立つ,364
rebellious,反抗的な，抵抗的な,365
outrageous,無法な，法律を無視した,366
nasty,不快な，不愉快な,367
pull over,車を止める，車を停止させる，停車させる,368
greenhouse,温室，ビニールハウス,369
bandage,包帯，絆創膏，ガーゼ,370
pat,軽くたたく，軽く打つ,371
soak,浸す，浸漬する,372
eventual,最終的な，究極的な,373
aim to,するつもりである，意図する,374
gross,全体の，総体的な,375
affluent,裕福な，富裕な,376
imperfect,不完全，未完成,377
measurement,測定，計測,378
substantially,実質的に，本質的に,379
disruptive,破壊的な，破壊力のある,380
inmate,収容者，被収容者,381
differently,異なって，異なる,382
wrap up,纏める，結束する,383
childbirth,出産，分娩,384
tell on,言いつける，密告する,385
midwife,助産婦，産婆,386
predecessor,前任者，先任者,387
discomfort,不快感，違和感,388
pull through,を乗り越える，を超える,389
heal,癒す，治す,390
embarrassed,恥ずかしい，照れる,391
herd,群れ，集団,392
suburban,郊外の，郊外型の,393
placid,穏やかな，温和な,394
bounce back,持ち直す，回復する,395
bliss,至福，極楽,396
cross out,線を引いて消す，を抹消する,397
entice,誘惑する，魅惑する,398
provocative,挑発的な，挑戦的な,399
passionate,情熱的な，熱情的な,400
feminist,男女同権主義者，フェミニスト,401
extract,抜き取る，取り除く,402
elicit,引き出す，取り出す,403
deprivation,剥奪，取り上げ,404
confession,告白，自白,405
cascade,小滝，小さな滝,406
erroneous,誤った，間違えた,407
pass off,次第に消える，徐々に消える,408
testimony,証言，申し立て,409
paranoia,妄想症，幻想症,410
gutter,側溝，排水溝,411
settle up,を支払う，払い戻す,412
denounce,非難する，批判する,413
tacit,暗黙の，言わずと知れた,414
consent,同意する，賛成する,415
witch,魔女，魔法使い,416
give in,降伏する，投降する,417
subdue,鎮圧する，抑制する,418
coerce,強制する，強いる,419
crusade,聖戦，聖なる戦争,420
allegedly,申し立てによると，主張によると,421
shady,陰になった，日陰になった,422
intimidation,脅迫，威嚇,423
deceit,詐欺，騙し,424
ail,苦しめる，苦痛を与える,425
assert,主張する，主意を表す,426
rampage,大暴れ，乱闘，乱戦,427
mentor,指導者，リーダー,428
confrontation,対決，対戦,429
presidency,大統領職，首相職,430
brush off,をすげなく断る，無視する，拒否する,431
purge,粛清する，浄化する,432
dire,悲惨な，哀れな,433
unethical,非倫理的な，不道徳な,434
neutral,中立の，公平な,435
abominable,忌まわしい，憎むべき,436
stick up for,を支持する，を弁護する，を擁護する,437
exquisite,絶妙な，見事な,438
incremental,増加の，増大の,439
validity,有効性，効果性,440
discrepancy,不一致，食い違い,441
fix up,を修理する，決定する，を直す,442
momentum,運動量，運動エネルギー,443
rue,後悔する，悔いる,444
nutrient,栄養素，栄養分,445
absorption,吸収，吸取,446
physically,肉体的に，身体的に,447
thrive,繁栄する，隆盛する,448
notable,注目すべき，重要な,449
geography,地理，地理学,450
foam,小さな泡，微細な泡,451
duration,持続時間，持続期間,452
determination,決定，決断,453
reign,統治，治世,454
footing,足場，基盤,455
continuous,継続的な，持続的な,456
demographic,人口統計の，人口統計学の,457
explicit,明らかな，はっきりとした,458
along with,に沿って，従って，伴って,459
lessen,減らす，減少させる,460
portal,正門，入り口，門口,461
repeatedly,繰り返し，反復,462
harry,うるさく悩ます，蹂躙する，苦しめる,463
forbidden,禁じられた，禁止された,464
disturbing,邪魔な，迷惑な,465
par,同等，等価,466
across from,の向かいに，対面に，の向かい側,467
heath,荒野，野原,468
chemistry,化学/化学的な,469
malignant,悪意のある，悪意を持った,470
carcinogen,発がん物質，発癌性の物質,471
accumulate,蓄積する，貯蔵する,472
evacuate,避難する，逃避する,473
threshold,閾，閾値,474
invaluable,貴重な，価値のある,475
miss out,機会を逃す，見落とす，見過ごす,476
ubiquitous,至る所に存在する，遍在する,477
burn out,を焼き尽くす，燃え切る，火で追い出す,478
formulate,策定する，計画する,479
feed off,から取って食べる，情報を得る，採取して利用する,480
hidden,隠された，隠秘の,481
botanist,植物学者，植物研究者,482
diplomat,外交官，外交官僚,483
skim over,流し読みする，ざっと読む，素早く読む,484
denote,表示する，示す,485
notorious,悪名高い，有名な,486
monarch,君主，王,487
faction,派閥，党派,488
animosity,敵意，敵対心,489
undermine,弱体化させる，衰退させる,490
ballot,投票用紙，選挙票,491
liability,責任，責務,492
successor,後継，次代,493
aggravate,悪化させる，劣化させる,494
signify,意味する，示す,495
loyal,忠実な，信念の厳格な,496
fortunate,幸運な，運の良い,497
giant,巨大な，大規模な,498
collision,衝突，対立,499
compelling,説得力のある，有力な,500
critical of,を批判する，非難する，批評する,501
plunge,突入する，侵入する,502
lava,溶岩，マグマ,503
devastating,壊滅的な，破壊的な,504
partial,部分的な，一部の,505
in line with,に従って，一致して，合致して,506
surge,波打つ，急に上がる,507
adamant,断固たる，固定的な,508
sole,単独の，単一の,509
consensus,同意，同調,510
rein,手綱，馬具,511
exorbitant,法外な，途方もない,512
depletion,枯渇，涸れる,513
split up,を分ける，分割する，区別する,514
regulatory,規制，制限,515
thoroughly,徹底的に，完全に,516
genetic,遺伝的な，遺伝による,517
indigenous,原産の，原生の,518
realistic,現実的な，現実に即した,519
allied,同盟を結んでいる，連携している,520
let up,やめる，弱まる，止む,521
volcano,火山，噴火口,522
cozy,居心地の良い，快適な,523
stubborn,頑固な，固執する,524
neat,きちんとした，整った,525
ease into,にゆっくりと入る，スムーズに入る，滞りなく入る,526
tidy,きちんとした，整った,527
play down,を軽く扱う，手軽に扱う，を見くびる,528
surgical,外科の，外科的な,529
go against,に反して，に逆らって，反対に,530
instantly,すぐに，直ちに，即座に,531
sting,刺す，突く,532
sunburn,日焼け，日焼け跡,533
add up to,結局～になる，結果として,534
venerable,由緒ある，歴史ある,535
play up,を重視する，強調する，優先する,536
assimilate,吸収する，同化する，取り込む,537
terminology,用語，専門用語,538
vault,丸天井，ドーム型の天井,539
indicative,表示する，示す,540
hang out,くつろぐ，リラックスする,541
dilute,薄める，希釈する,542
by contract,契約で，契約上の,543
suitor,求婚者，プロポーザルする人,544
endear,慕わせる，愛される,545
opportune,好機の，絶好の機会,546
proverbial,ことわざの，格言の,547
fall into,に属する，分類される,548
wry,ゆがんだ，歪んだ,549
shaggy,毛深い，毛むくじゃらの,550
drag on,長引く，続きすぎる,551
imperative,命令的な，指令的な,552
life expectancy,余命，生命の期間,553
ornate,華やかな，豪華な,554
drive off,を追い払う，排除する,555
molest,悩ます，困らせる,556
carry through,やり通す，達成する,557
maritime,海事の，海洋に関する,558
finish off,を完成させる，完遂させる,559
ascend,昇る，上昇する,560
stand down,身を引く，後退する,561
rant,怒鳴り立てる，大声で叫ぶ,562
blatant,露骨な，あからさまな,563
lay off,を解雇する，首にする,564
plausible,もっともらしい，信用できる,565
reaffirm,再確認する，再度チェックする,566
delve,掘り下げる，深く調べる,567
excerpt,抜粋，引用,568
timidity,臆病，怯える,569
coarse,粗末な，質素な,570
amass,蓄える，保存する,571
flaunt,誇示する，見せびらかす,572
yeast,酵母，きっかけ,573
frolic,戯れる，遊ぶ,574
procedural,手続きの，手順の,575
momentous,重大な，深刻な,576
counterclockwise,反時計回りの，逆回り,577
frosty,凍えるような，氷点下の,578
garner,集める，収集する,579
grow into,に発展する，進行する，進展する,580
light bulb,電球，光球，蛍光灯,581
bogus,偽の，詐欺的な,582
horrify,怖がらせる，恐れさせる,583
prevent A from B,AをBから防ぐ，AをBから保護する，AをBから妨げる,584
trilogy,三部作，三連作,585
dreadful,恐ろしい，怖い,586
bemoan,嘆く，嘆き悲しむ,587
deflect,そらせる，ゆがめる,588
turbulence,乱気流，渦,589
vista,眺望，景色,590
reliant,頼っている，信頼している,591
pollute,汚染する，汚す,592
binary,二の，二番目の,593
phony,偽物の，模造の,594
shake up,大きく変える，再編する,595
hoist,揚げる，巻き上げる,596
innate,生まれつきの，先天的な,597
colloquial,口語の，話し言葉の,598
abduct,拉致する，誘拐する,599
inaugural,就任の，着任の,600
act on,に従って行動する，従う,601
aquatic,水生の，水中の,602
stunning,驚くような，驚異的な,603
lag,遅れる，遅延する,604
unison,一致，合致,605
pastoral,羊飼いの，牧羊人の,606
launder,洗濯する，洗う,607
authoritative,権威ある，権力のある,608
impart,与える，授ける,609
crunch,噛み砕く，消化する,610
tentative,暫定の，一時的な,611
revamp,改修する，修復する,612
flex,曲げる，湾曲させる,613
transcription,転写，写す,614
convertible,形を変えられる，形状を変化させる,615
water vapor,水蒸気，蒸気,616
colossal,巨大な，大きな,617
revitalize,活性化させる，刺激する,618
thee,汝を，あなたを,619
stub,使い残り，残り物,620
ulcer,潰瘍，出来物,621
indistinct,不明瞭な，ぼやけた,622
divulge,漏らす，暴露する,623
keep A company,Aに同行する，Aとともに行く,624
hollow,空洞のある，中が空の,625
drop back,後退する，後ずさる,626
outcast,追放された，追い出された,627
prudent,用心深い，慎重な,628
debilitate,衰弱させる，弱める,629
insinuate,ほのめかす，示唆する,630
rub in,刷り込む，教え込む,631
oblivious,忘れっぽい，物忘れの激しい,632
traction,牽引，引っ張る,633
with all,にも関わらず，尽力しても,634
ruthlessly,冷酷に，冷徹に,635
scour,こすり洗う,636
genial,親切で愛想のよい，親しみやすい,637
substantive,実質的な，具体的な,638
repeal,廃止する，中止する,639
sloppy,ずさんな，いい加減な,640
tie up,を縛り上げる，束縛する,641
lamentable,哀れな，悲しい,642
interrogate,尋問する，質問攻めにする,643
episcopal,監督の，司教の,644
treason,反逆，反乱,645
dainty,上品な，洗練された,646
dizzy,めまいがする，目が回る,647
concoct,練る，混ぜ合わせる,648
run against,にぶつかる，出くわす,649
scuttle,急いで行く，速く走る,650
loose,緩い，緩んだ,651
get on with,とうまくやっていく，スムーズに進める,652
admonish,訓戒する，警告する,653
in pursuit of,を追跡して，追いかけて,654
questionable,疑わしい，疑念を抱く,655
haughty,高慢な，傲慢な,656
experiment with,を試す，実験する,657
hefty,重い，沈重な,658
soothing,和らげる，軽減する,659
commend,褒める，賞賛する,660
chasten,懲らしめる，罰する,661
liken,例える，比較する,662
spring up,突然現れる，跳ね上がる,663
facile,安易な，手軽な,664
intuitive,直感的な，直感力の,665
capitalize,大文字にする，大型化する,666
folly,愚かな，馬鹿な,667
fend,避ける，回避する,668
coalesce,合体する，結合する,669
alleviate,和らげる，軽減する,670
exhale,吐き出す，放出する,671
slip by,そっと通り過ぎる，静かに過ぎる,672
enigmatic,謎めいた，神秘的な,673
gnaw,かじる，噛む,674
inter,埋葬する，埋める,675
loathe,嫌う，嫌悪する,676
real estate,不動産，物件,677
venue,現場，場所,678
cardinal,主要な，中心的な,679
lousy,ひどい，悪い,680
resurrect,復活させる，再生する,681
nestle,寄り添う，側にいる,682
temperament,気質，性質,683
dismay,がっかりさせる，失望させる,684
abort,中絶する，挫折する,685
elusive,捉えどころのない，不確定な,686
neurotic,神経症の，神経質な,687
confound,混乱させる，乱す,688
step down,降りる，身を引く,689
tenure,任期，期間,690
laughable,失笑を買った，笑われた,691
rebel against,に反抗する，対抗する,692
statistic,統計，統計学,693
clockwise,時計回りに，右回りに,694
curtail,削減する，減少させる,695
entrust,委託する，依頼する,696
catastrophic,破滅的な，壊滅的な,697
fire up,点火する，起動する,698
come along,一緒に行く，共に進む,699
injurious,有害な，危害を及ぼす,700
back off,後退する，後ろに下がる,701
sign up,登録する，署名する,702
complementary,補完的な，補足的な,703
nasal,鼻の，鼻関連の,704
drawl,ゆっくり話す，遅く話す,705
dietary,食事の，食事関連の,706
peripheral,周辺の，近隣の,707
crumple,くしゃくしゃにする，よれる,708
prolong,延ばす，伸ばす,709
out of the question,話にならない，不可能な,710
heave,盛り上がる，興奮する,711
molecular,分子の，微小な,712
gingerly,極めて慎重に，非常に注意深く,713
giddy,めまいがする，頭が回る,714
nomadic,遊牧の，移動する,715
recoup,取り戻す，回収する,716
strenuous,努力を要する，骨の折れる,717
demolish,取り壊す，壊す,718
scratch out,(線を引いて)消す，取り消す,719
meticulous,細心の，慎重な,720
acquaint,知らせる，通知する,721
treatise,論文，論説,722
oust,追い払う，追い出す,723
empirical,経験に基づいた，実績からの,724
confiscate,没収する，押収する,725
fall away,弱まる，落ちる,726
startling,驚くべき，驚異的な,727
be aimed at,を狙っている，が意図されている,728
discrete,個別の，独自の,729
termination,終了，終わり,730
mull,良く考える，砂糖を入れて温める,731
overhaul,分解検査する，分析検査する,732
obligate,義務づける，強制する,733
wretch,みじめな人，不運な人,734
ardent,熱心な，情熱的な,735
run down,流れ落ちる，荒廃する,736
innermost,奥底の，深層の,737
volatile,揮発性の，揮発する,738
beguile,惑わす，混乱させる,739
come down to,結局～になる，に帰する,740
impoverished,貧しい，貧弱な,741
veto,拒否権，拒絶権,742
arduous,骨の折れる，困難な,743
crafty,狡猾な，ずるい,744
ferocious,どう猛な，激しい,745
bureaucratic,官僚的な，形式的な,746
construe,解釈する，解明する,747
derivative,派生した，派生する,748
mystic,神秘的な，不可解な,749
magnify,拡大する，増大する,750
impending,起こりそうな，可能性がある,751
gallant,勇敢な，勇気のある,752
appease,なだめる，鎮める,753
reverberate,反響する，反応する,754
groundless,根拠のない，無根拠の,755
invincible,無敵の，無敵な,756
deficient,欠乏した，不足した,757
pass for,として通る，通過する,758
singular,特異な，特有の,759
indifferent,無関心な，冷淡な,760
devolve,譲り渡す，移譲する,761
emanate,発する，出す,762
inconspicuous,目立たない，控えめな,763
pediatric,小児科の，子供の病気の,764
wartime,戦時，戦争時,765
pristine,元の，以前の,766
incompetent,無能な，劣る,767
bask,日向ぼっこする，日光浴する,768
duplicate,複製する，複写する,769
definitive,決定的な，断定的な,770
treachery,裏切り，背信,771
hamper,妨げる，邪魔する,772
back down,手を引く，撤退する,773
stern,厳しい，厳格な,774
chide,叱る，怒る,775
crackle,パチパチと音をたてる，クリックする,776
peek,ちらっと覗く，一瞥する,777
obsolete,時代遅れの，古臭い,778
proportionate,比例した，均等な,779
viable,生存できる，生き抜く,780
grate,格子，格子状,781
bank on,を当てにする，依存する,782
neutralize,中和する，中立化する,783
graceful,優雅な，洗練された,784
fall off,減少する，減る,785
look down on,を見下す，軽視する,786
stingy,けちな，節約好きの,787
jab,突き刺す，突き立てる,788
dusky,薄暗い，昏い,789
subdivision,細分化，分割,790
focal,焦点の，中心の,791
shun,避ける，回避する,792
wig,カツラ，人工の髪,793
discernible,識別できる，区別できる,794
exhilarate,陽気にさせる，楽しくさせる,795
customary,慣習的な，伝統的な,796
stick around,居残る，うろうろする,797
stuffed,詰め込んだ，充填した,798
mince,刻む，細かく切る,799
statutory,法定の，法的な,800
role model,お手本，模範,801
obstruct,邪魔する，妨害する,802
stature,身長，身の丈,803
talk down to,見下して話す，軽蔑して話す,804
recurring,繰り返し，再三,805
ignite,点火する，火をつける,806
make progress,進歩する，進展する,807
lose out to,に負ける，敗れる,808
ominous,不吉な，不運な,809
mitigate,和らげる，柔らかくする,810
vicar,牧師，神父,811
collateral,並び合った，横に並んだ,812
semantic,意味論の，意味学の,813
disquiet,不穏な，不安定な,814
hale,元気な，活発な,815
muse,深く考える，熟考する,816
autonomous,自律的な，独立的な,817
give over,を任せる，委ねる,818
gloat,満足げに眺める，得意に見る,819
retaliate,報復する，仕返しする,820
relinquish,放棄する，捨てる,821
superfluous,余計な，過剰な,822
make over,を作り替える，改造する,823
stop A from doing B,AがBすることを止める，AがBするのを禁じる,824
scoff,嘲笑する，あざ笑う,825
cringe,すくむ，怯える,826
pissed,腹を立てた，怒った,827
despite,にも関わらず，とはいえ,828
benign,良性の，善良な,829
bring on,を引き起こす，誘発する,830
inflammatory,炎症性の，炎症を引き起こす,831
wharf,波止場，埠頭,832
press for,をせがむ，催促する,833
shear,刈り取る，収穫する,834
incumbent,責務がある，義務がある,835
wistful,もの悲しい，哀しい,836
disgraceful,恥ずかしい，恥じらいの,837
invest in,に投資する，資金を提供する,838
sinister,不吉な，縁起が悪い,839
sprout,芽，新芽,840
fraudulent,詐欺，欺騙,841
